frame,visible,score,x,y
575,0,-inf,-inf,-inf
576,1,6.503418,777.5262451171875,81.60016059875488
577,0,-inf,-inf,-inf
578,0,-inf,-inf,-inf
579,0,-inf,-inf,-inf
580,0,-inf,-inf,-inf
581,1,8.424805,626.7455291748047,59.83699321746826
582,1,0.5283203,630.0,62.5
583,0,-inf,-inf,-inf
584,1,13.086914,217.07717895507812,20.457615852355957
585,1,5.647461,219.97730255126953,24.499177932739258
586,1,6.2421875,220.18108367919922,25.27866840362549
587,1,0.60253906,225.0,27.5
588,1,12.600098,225.98430633544922,30.711586475372314
589,1,11.75293,227.8740119934082,35.2618408203125
590,1,11.228516,230.15111923217773,38.144893646240234
591,0,-inf,-inf,-inf
592,0,-inf,-inf,-inf
593,1,3.3168945,852.1272277832031,29.563889503479004
594,0,-inf,-inf,-inf
595,1,7.73291,240.21074295043945,49.066901206970215
596,0,-inf,-inf,-inf
597,0,-inf,-inf,-inf
598,0,-inf,-inf,-inf
599,1,1.0131836,11.239758729934692,36.26024007797241
600,1,8.063477,11.64330244064331,39.05791997909546
601,1,9.706543,14.702198505401611,41.552138328552246
602,1,4.85791,16.801185607910156,44.147653579711914
603,1,4.6206055,18.728997707366943,47.495245933532715
604,0,-inf,-inf,-inf
605,1,8.176758,249.46359634399414,68.96885871887207
606,1,7.726074,250.84386825561523,70.58822631835938
607,1,4.647949,252.21294403076172,72.14491844177246
608,0,-inf,-inf,-inf
609,0,-inf,-inf,-inf
610,1,1.0771484,136.1888027191162,66.31119728088379
611,1,3.2856445,137.95623779296875,68.27946186065674
612,0,-inf,-inf,-inf
613,0,-inf,-inf,-inf
614,1,5.0253906,1076.7010498046875,69.16318416595459
615,0,-inf,-inf,-inf
616,1,0.51171875,712.5,35.0
617,0,-inf,-inf,-inf
618,0,-inf,-inf,-inf
619,0,-inf,-inf,-inf
620,1,6.2822266,280.8407783508301,77.93467044830322
621,0,-inf,-inf,-inf
622,1,9.282715,1105.4363250732422,19.52422261238098
623,1,1.0615234,1101.2350463867188,75.0
624,0,-inf,-inf,-inf
625,1,5.9765625,1107.2124481201172,75.78921794891357
626,1,5.0371094,1119.6842193603516,22.758095264434814
627,1,8.489746,1125.6668853759766,23.67544651031494
628,1,5.222168,1126.4628601074219,23.967273235321045
629,1,5.6396484,1129.73876953125,25.98484754562378
630,1,13.119141,1138.5343933105469,25.26127815246582
631,1,13.046875,1145.4315185546875,25.47455072402954
632,1,13.941895,1154.880599975586,25.204970836639404
633,1,14.145996,1163.9151763916016,25.634255409240723
634,0,-inf,-inf,-inf
635,1,0.55371094,1167.5,27.5
636,1,11.790039,1182.6777648925781,23.87134552001953
637,1,10.798828,1192.9325103759766,23.101601600646973
638,1,13.0546875,1205.1820373535156,20.280988216400146
639,1,10.362793,1216.0387420654297,19.174009561538696
640,0,-inf,-inf,-inf
641,0,-inf,-inf,-inf
642,1,8.090332,611.4555740356445,395.58483123779297
643,0,-inf,-inf,-inf
644,1,2.4331055,940.0,126.40979766845703
645,0,-inf,-inf,-inf
646,0,-inf,-inf,-inf
647,0,-inf,-inf,-inf
648,0,-inf,-inf,-inf
649,0,-inf,-inf,-inf
650,0,-inf,-inf,-inf
651,0,-inf,-inf,-inf
652,0,-inf,-inf,-inf
653,0,-inf,-inf,-inf
654,0,-inf,-inf,-inf
655,0,-inf,-inf,-inf
656,0,-inf,-inf,-inf
657,0,-inf,-inf,-inf
658,0,-inf,-inf,-inf
659,0,-inf,-inf,-inf
660,0,-inf,-inf,-inf
661,0,-inf,-inf,-inf
662,0,-inf,-inf,-inf
663,0,-inf,-inf,-inf
664,0,-inf,-inf,-inf
665,0,-inf,-inf,-inf
666,0,-inf,-inf,-inf
667,0,-inf,-inf,-inf
668,0,-inf,-inf,-inf
669,0,-inf,-inf,-inf
670,0,-inf,-inf,-inf
671,0,-inf,-inf,-inf
672,0,-inf,-inf,-inf
673,0,-inf,-inf,-inf
674,0,-inf,-inf,-inf
675,0,-inf,-inf,-inf
676,0,-inf,-inf,-inf
677,0,-inf,-inf,-inf
678,0,-inf,-inf,-inf
679,0,-inf,-inf,-inf
680,0,-inf,-inf,-inf
681,0,-inf,-inf,-inf
682,0,-inf,-inf,-inf
683,0,-inf,-inf,-inf
684,0,-inf,-inf,-inf
685,0,-inf,-inf,-inf
686,0,-inf,-inf,-inf
687,0,-inf,-inf,-inf
688,0,-inf,-inf,-inf
689,0,-inf,-inf,-inf
690,0,-inf,-inf,-inf
691,0,-inf,-inf,-inf
692,0,-inf,-inf,-inf
693,0,-inf,-inf,-inf
694,0,-inf,-inf,-inf
695,0,-inf,-inf,-inf
696,0,-inf,-inf,-inf
697,0,-inf,-inf,-inf
698,0,-inf,-inf,-inf
699,0,-inf,-inf,-inf
700,0,-inf,-inf,-inf
701,0,-inf,-inf,-inf
702,0,-inf,-inf,-inf
703,0,-inf,-inf,-inf
704,0,-inf,-inf,-inf
705,0,-inf,-inf,-inf
706,0,-inf,-inf,-inf
707,0,-inf,-inf,-inf
708,0,-inf,-inf,-inf
709,0,-inf,-inf,-inf
710,0,-inf,-inf,-inf
711,0,-inf,-inf,-inf
712,0,-inf,-inf,-inf
713,0,-inf,-inf,-inf
714,0,-inf,-inf,-inf
715,0,-inf,-inf,-inf
716,0,-inf,-inf,-inf
717,0,-inf,-inf,-inf
718,0,-inf,-inf,-inf
719,0,-inf,-inf,-inf
